listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
11500564,Private Room in shared flat,Private room,4,21158428,23.0,2025-01-17 09:36:21+00:00,2025-01-17 09:36:21+00:00
7560826,schöne Wohnung für eine Familie,Entire home/apt,1,39634813,65.0,2025-01-17 09:28:27+00:00,2025-01-17 09:28:27+00:00
45444989,On top of Berlin,Entire home/apt,1,154653929,50.0,2025-01-17 09:05:17+00:00,2025-01-17 09:05:17+00:00
49972317,Cozy and Calm room in Shared Flat,Private room,5,17204519,11.0,2025-01-17 09:03:33+00:00,2025-01-17 09:03:33+00:00
