listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
22820006,Gemütliches Studio Apartment zentral gelegen,Entire home/apt,60,8912086,69.0,2025-01-17 23:24:32+00:00,2025-01-17 23:24:32+00:00
12641723,Beautiful flat with amazing view!,Entire home/apt,1,68656621,50.0,2025-01-17 23:20:34+00:00,2025-01-17 23:20:34+00:00
41359244,Berlin Zentrum näher Potsdamer Platz,Private room,2,157216702,45.0,2025-01-17 23:11:34+00:00,2025-01-17 23:11:34+00:00
47774975,Ferienhaus für 6 Gäste mit 130m² in Berlin (145060),Entire home/apt,1,238028559,183.0,2025-01-17 23:09:33+00:00,2025-01-17 23:09:33+00:00
24082136,Ruhiges Zimmer in Friedrichshain mit süßen Katzen,Private room,2,35851817,29.0,2025-01-17 23:00:42+00:00,2025-01-17 23:00:42+00:00
