listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
40031078,Potsdamer Platz,Entire home/apt,180,145.0,259940521,Kefah,f,2025-01-14 07:57:05+00:00,2025-01-14 07:57:05
42249477,Cool apartment in the city centre !,Entire home/apt,2,80.0,23738283,Jarek,f,2025-01-14 07:43:42+00:00,2025-01-14 07:43:42
34002394,Cosy and Smart Apartment on Alexanderplatz,Entire home/apt,30,55.0,203071555,,,2025-01-14 07:40:06+00:00,2025-01-14 07:40:06
27704760,Stylish & Central Munich Apartment,Private room,1,145.0,146706943,Jörg,f,2025-01-14 07:35:58+00:00,2025-01-14 07:35:58
37156504,Appartamento pulito ed ordinato.. soggiorni brevi,Private room,1,75.0,275087561,Shqiponje,f,2025-01-14 07:33:29+00:00,2025-01-14 07:33:29
47592607,"Beautiful, modern Berlin loft by Tempelhof",Entire home/apt,14,100.0,67582543,Eli,f,2025-01-14 07:15:09+00:00,2025-01-14 07:15:09
