listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
42749901,"2-Raum Erdgeschoss ""Breezy Garden"", 51 qm",Entire home/apt,4,183.0,335573202,,,2025-01-14 01:44:44+00:00,2025-01-14 01:44:44
26187118,Axel Suite with Breakfast at Axel Hotel Berlin,Hotel room,1,269.0,98159395,,,2025-01-14 01:29:43+00:00,2025-01-14 01:29:43
44275551,Sleep in a Tower in the heart of Berlin,Private room,1,75.0,111276639,Luca,f,2025-01-14 01:07:55+00:00,2025-01-14 01:07:55
21052394,Cozy 2-Room-Apartment in Kreuzberg,Entire home/apt,1,125.0,34509173,,,2025-01-14 01:05:11+00:00,2025-01-14 01:05:11
20109066,Awesome home in Berlin with 2 Bedrooms,Entire home/apt,28,101.0,141539959,,,2025-01-14 01:05:05+00:00,2025-01-14 01:05:05
