listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
39838556,Remise in Adlershof,Private room,23,20.0,115758436,Sarah,f,2025-01-14 08:59:34+00:00,2025-01-14 08:59:34
3779123,"Schönes großes, sonniges Zimmer",Private room,7,40.0,6703283,Sophie,f,2025-01-14 08:48:30+00:00,2025-01-14 08:48:30
5819100,best place to be! f-hain!,Private room,1,35.0,30199257,Richard,f,2025-01-14 08:29:21+00:00,2025-01-14 08:29:21
43882145,It's very silent. At the corner of the corridor.,Entire home/apt,1,39.0,350095489,Mohit,f,2025-01-14 08:18:35+00:00,2025-01-14 08:18:35
