listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
43801577,"große, helle Wohnung in Neukölln nähe Ufer",Entire home/apt,5,106.0,43358860,Jana,f,2025-01-14 00:55:10+00:00,2025-01-14 00:55:10
34902974,Ruhige Wohnung direkt am Wald,Entire home/apt,1,25.0,42571558,Bettina Irene,f,2025-01-14 00:55:04+00:00,2025-01-14 00:55:04
46034877,Cosy 29 sq. meter apartment,Entire home/apt,10,35.0,313552363,Daniyal,f,2025-01-14 00:41:48+00:00,2025-01-14 00:41:48
42655892,Pankow Penthouse,Entire home/apt,7,140.0,118534678,Markus,f,2025-01-14 00:15:58+00:00,2025-01-14 00:15:58
45147337,25 m² bright & cozy little jungle in Berlin-Mitte,Private room,3,49.0,30656497,Maxim,f,2025-01-14 00:13:07+00:00,2025-01-14 00:13:07
