listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
49037756,Fantastic & modern room for 3  near Subway central,Private room,14,71.0,108025548,,,2025-01-14 12:41:37+00:00,2025-01-14 12:41:37
32487933,"Big, sunny room in shared flat in the <3 of Berlin",Private room,3,23.0,1878115,Dax,f,2025-01-14 12:25:37+00:00,2025-01-14 12:25:37
29871786,Vintage home in hip Neukölln,Entire home/apt,7,100.0,172027240,Fanny,f,2025-01-14 12:05:45+00:00,2025-01-14 12:05:45
40319555,X-Mas and happy new year Berlin,Entire home/apt,3,90.0,49845399,Daniel,f,2025-01-14 12:02:17+00:00,2025-01-14 12:02:17
