listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
20407965,Modern cozy flat share in central Berlin,Private room,2,120.0,12138510,Sascha,f,2025-01-13 05:53:12+00:00,2025-01-13 05:53:12
7599452,Central Berlin Hugh Luxury Apt,Entire home/apt,3,125.0,1086128,Anonymous,t,2025-01-13 05:47:01+00:00,2025-01-13 05:47:01
52005535,ArtStyle im Bötzowviertel,Private room,10,28.0,316048468,,,2025-01-13 05:21:35+00:00,2025-01-13 05:21:35
48856187,Piso en el corazón de Berlín (very central),Private room,15,25.0,249285910,Ricardo,f,2025-01-13 05:16:51+00:00,2025-01-13 05:16:51
51163216,Comfort Zimmer,Private room,1,110.0,414039130,,,2025-01-13 05:05:08+00:00,2025-01-13 05:05:08
21467204,Wohnung in  Herzen Friedrichshain,Entire home/apt,1,59.0,155753831,Ionela,f,2025-01-13 05:00:35+00:00,2025-01-13 05:00:35
