listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
40669237,Loft Berlin (Prenzlauer Berg) near Alex,Entire home/apt,3,150.0,10169408,Carina,f,2025-01-13 14:54:56+00:00,2025-01-13 14:54:56
51629805,Calm Boho apartment in great location,Entire home/apt,5,59.0,295353406,Nica,f,2025-01-13 14:46:10+00:00,2025-01-13 14:46:10
50342158,CENTRAL-QUIET-PRIVATE BATHROOM,Private room,5,58.0,90121086,Pavao,f,2025-01-13 14:45:41+00:00,2025-01-13 14:45:41
44432002,#502 Be my guest,Entire home/apt,4,89.0,304345361,,,2025-01-13 14:40:24+00:00,2025-01-13 14:40:24
22938072,Lovely charming apartment Graefekiez ❣️,Entire home/apt,14,39.0,10775125,Amundra,f,2025-01-13 14:20:00+00:00,2025-01-13 14:20:00
21446174,Cosy apartment with balcony,Private room,2,40.0,25092314,Eva,f,2025-01-13 14:13:09+00:00,2025-01-13 14:13:09
7111882,12.7. - 7.8. flat at Kottbusser Tor,Entire home/apt,14,38.0,37254922,Thomas,f,2025-01-13 14:00:26+00:00,2025-01-13 14:00:26
