listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
15161998,Good views!,Private room,1,200.0,96198946,Daniel,f,2025-01-13 02:58:56+00:00,2025-01-13 02:58:56
7271972,2 large rooms - Berlin,Private room,1,110.0,38074515,Sune,f,2025-01-13 02:40:36+00:00,2025-01-13 02:40:36
7284888,Double room with bikes in Wedding,Private room,3,40.0,38148105,Andrés,f,2025-01-13 02:30:04+00:00,2025-01-13 02:30:04
22235689,Cozy room in Mitte,Private room,1,33.0,67891464,Marta,f,2025-01-13 02:19:42+00:00,2025-01-13 02:19:42
50118558,Lovely Apartment in the Heart of Prenzlauer Berg,Entire home/apt,3,110.0,892561,Katrin,f,2025-01-13 02:00:07+00:00,2025-01-13 02:00:07
