listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
46270493,Super Stylish Flat in Berlin's most popular area,Entire home/apt,90,351952364,140.0,2025-01-16 11:21:26+00:00,2025-01-16 11:21:26+00:00
6098801,"Nice, bright room in PBerg",Private room,1,31647635,25.0,2025-01-16 11:20:22+00:00,2025-01-16 11:20:22+00:00
33846826,Wohnung im Grünen in Berlin Dahlem,Entire home/apt,1,25188349,35.0,2025-01-16 11:09:11+00:00,2025-01-16 11:09:11+00:00
52381148,bedroom + private bathroom  in hip Friedrichshain,Private room,1,45719851,120.0,2025-01-16 11:09:02+00:00,2025-01-16 11:09:02+00:00
