listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
47112187,Sir Savigny,Hotel room,1,380683890,0.0,2025-01-16 21:33:21+00:00,2025-01-16 21:33:21+00:00
45066365,Former artist studio in the heart of Kreuzberg,Entire home/apt,3,15005811,80.0,2025-01-16 21:07:24+00:00,2025-01-16 21:07:24+00:00
24273079,Bambushaus / Teehaus Kellinghusen,Private room,1,112519239,201.0,2025-01-16 21:05:46+00:00,2025-01-16 21:05:46+00:00
28879433,Deluxe Room In The Center Of West Berlin,Hotel room,1,212377709,425.0,2025-01-16 21:05:18+00:00,2025-01-16 21:05:18+00:00
