listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
41178509,Cozy room in the heart of Friedrichshain,Private room,2,322819820,65.0,2025-01-16 23:43:58+00:00,2025-01-16 23:43:58+00:00
20613393,Berlin with Family,Entire home/apt,3,147333604,99.0,2025-01-16 23:19:41+00:00,2025-01-16 23:19:41+00:00
24662962,Holidays in the heart of East Berlin,Entire home/apt,6,5237204,99.0,2025-01-16 23:16:51+00:00,2025-01-16 23:16:51+00:00
36438388,Central Berlin | architects apartment,Entire home/apt,4,37267757,127.0,2025-01-16 23:15:16+00:00,2025-01-16 23:15:16+00:00
