listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
50953803,Ruhige helle Wohnung in Berlin Neukölln,Entire home/apt,12,150690907,40.0,2025-01-16 15:42:07+00:00,2025-01-16 15:42:07+00:00
8533526,BIG and CALM STUDIO,Entire home/apt,1,16876647,45.0,2025-01-16 15:39:57+00:00,2025-01-16 15:39:57+00:00
19222541,Central Apt at Graefekiez (Kreuzberg),Entire home/apt,7,127670604,75.0,2025-01-16 15:33:47+00:00,2025-01-16 15:33:47+00:00
10979941,Furnished Room Near EastSideGallery,Private room,1,19362010,22.0,2025-01-16 15:18:02+00:00,2025-01-16 15:18:02+00:00
