listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
48087572,Alte Feuerwache Berlin - Standard Double or Twin Room,Private room,1,386848467,72.0,2025-01-16 07:59:53+00:00,2025-01-16 07:59:53+00:00
46769321,Berlin Art Creative Room,Private room,1,24864601,124.0,2025-01-16 07:53:30+00:00,2025-01-16 07:53:30+00:00
32335706,Wunderschöne Altbauwohnung 65m2,Entire home/apt,14,35630833,80.0,2025-01-16 07:39:24+00:00,2025-01-16 07:39:24+00:00
18115414,"2 Zimmerwohnung in Pankow, ideal für Pärchen",Entire home/apt,3,73828853,27.0,2025-01-16 07:32:38+00:00,2025-01-16 07:32:38+00:00
19190445,Very central place in heart of Wedding,Entire home/apt,1,132302162,65.0,2025-01-16 07:30:11+00:00,2025-01-16 07:30:11+00:00
9150987,Cozy big room in kreuzberg/neukölln,Private room,5,47554561,25.0,2025-01-16 07:20:22+00:00,2025-01-16 07:20:22+00:00
40650136,"Cozy, comfort and modern apartment! BILLS INCLUDED",Entire home/apt,100,271714786,860.0,2025-01-16 07:19:01+00:00,2025-01-16 07:19:01+00:00
8568509,Flat with balcony in Wedding,Entire home/apt,1,36364923,46.0,2025-01-16 07:00:41+00:00,2025-01-16 07:00:41+00:00
