listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
14173499,Grüne Stadtoase kinderfreundlich 45qm/700qm Garten,Entire home/apt,7,45160095,110.0,2025-01-18 12:53:41+00:00,2025-01-18 12:53:41+00:00
42547533,Friedrichshain Penthouse Apartment,Private room,5,22002533,100.0,2025-01-18 12:41:42+00:00,2025-01-18 12:41:42+00:00
2192027,Temporary Living - Loftstyle Studio Apartment,Entire home/apt,180,1581,40.0,2025-01-18 12:37:38+00:00,2025-01-18 12:37:38+00:00
27448772,our home in Berlin,Entire home/apt,1,206843996,100.0,2025-01-18 12:25:15+00:00,2025-01-18 12:25:15+00:00
20870208,"Big room close to Alexanderplatz,Berlin mitte",Private room,1,125905477,23.0,2025-01-18 12:23:56+00:00,2025-01-18 12:23:56+00:00
3564551,Zentrale Wohnung in Berlin Wedding,Entire home/apt,1,10867269,65.0,2025-01-18 12:04:53+00:00,2025-01-18 12:04:53+00:00
