listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
28682954,Schönes und ruhiges Zimmer in Steglitz,Private room,1,216394478,55.0,2025-01-18 05:59:08+00:00,2025-01-18 05:59:08+00:00
32711241,Wohnung 65qm am Ostkreuz Friedrichshain,Entire home/apt,20,74744455,30.0,2025-01-18 05:44:00+00:00,2025-01-18 05:44:00+00:00
7606896,Helles schönes privates Zimmer WG,Private room,7,39895198,35.0,2025-01-18 05:38:50+00:00,2025-01-18 05:38:50+00:00
22203325,Cosy room in nice neighborhood,Private room,6,67060786,14.0,2025-01-18 05:29:20+00:00,2025-01-18 05:29:20+00:00
7486826,3-Zimmer Altbauwohnung in Kreuzberg,Entire home/apt,1,21353180,80.0,2025-01-18 05:17:21+00:00,2025-01-18 05:17:21+00:00
