listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
9501847,Cozy sunny room in Alt-Tempelhof,Private room,7,25449632,23.0,2025-01-18 00:59:46+00:00,2025-01-18 00:59:46+00:00
52386640,New loft 4 bedrooms with fireplace at Mitte,Entire home/apt,3,70168685,245.0,2025-01-18 00:41:32+00:00,2025-01-18 00:41:32+00:00
7595499,25qm room in the heart of neukölln,Private room,1,39830360,16.0,2025-01-18 00:30:22+00:00,2025-01-18 00:30:22+00:00
9914902,Rooms Center Berlin Alexaanderplatz,Private room,4,50976411,45.0,2025-01-18 00:29:09+00:00,2025-01-18 00:29:09+00:00
46849515,Schönes Zimmer in 3er-WG im Friedrichshain,Private room,14,251703986,22.0,2025-01-18 00:00:33+00:00,2025-01-18 00:00:33+00:00
