listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
44219012,Beautiful two-bedroom apartment in Spandau,Entire home/apt,60,271235180,45.0,2025-01-18 22:55:10+00:00,2025-01-18 22:55:10+00:00
7851334,The room of the rising sun,Private room,4,41296382,20.0,2025-01-18 22:42:35+00:00,2025-01-18 22:42:35+00:00
49012266,Extravagant hotel room for 4 central to Subway,Private room,14,108025548,66.0,2025-01-18 22:35:01+00:00,2025-01-18 22:35:01+00:00
33772661,Dachterrassenwhg im Herzen Berlin-Charlottenburgs,Entire home/apt,91,215514794,73.0,2025-01-18 22:28:15+00:00,2025-01-18 22:28:15+00:00
22557460,"Beautiful and cozy room, 10 min from the center",Private room,1,3208719,26.0,2025-01-18 22:26:42+00:00,2025-01-18 22:26:42+00:00
44264891,Dreibettzimmer,Private room,1,304493323,70.0,2025-01-18 22:10:48+00:00,2025-01-18 22:10:48+00:00
