listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
52332750,Bright and spacious apartment in Friedrichshain,Entire home/apt,2,41053818,80.0,2025-01-18 14:54:35+00:00,2025-01-18 14:54:35+00:00
51963334,Super Saver Studio 20N · Super Saver Studio 20N · Günstiger Start in Berlin: Super Saver Studio,Entire home/apt,20,71613847,48.0,2025-01-18 14:53:02+00:00,2025-01-18 14:53:02+00:00
44566079,"Modernes 2,5 Zimmer Erdgeschoss-Apartment-Neubau",Entire home/apt,29,8912086,99.0,2025-01-18 14:44:34+00:00,2025-01-18 14:44:34+00:00
52819429,FAMILY@Mauerpark +SelfCheckIn +Street Parking,Entire home/apt,1,125847915,106.0,2025-01-18 14:43:33+00:00,2025-01-18 14:43:33+00:00
19479221,Private Room,Private room,2,2877982,59.0,2025-01-18 14:06:11+00:00,2025-01-18 14:06:11+00:00
