listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
12035953,Big Apartment near Tegel,Entire home/apt,60,18046938,42.0,2025-01-18 16:56:37+00:00,2025-01-18 16:56:37+00:00
5157203,Neukölln!!!,Entire home/apt,1,25561949,40.0,2025-01-18 16:37:25+00:00,2025-01-18 16:37:25+00:00
51415401,"Doppelzimmer ""Medium Twin"" Mit 2 Einzelbetten",Private room,1,415771368,190.0,2025-01-18 16:35:11+00:00,2025-01-18 16:35:11+00:00
21214782,Schlafen an der Spree,Entire home/apt,5,152068633,35.0,2025-01-18 16:32:43+00:00,2025-01-18 16:32:43+00:00
51445317,Cozy & Beautiful Room in Neukölln,Private room,2,80482488,85.0,2025-01-18 16:21:52+00:00,2025-01-18 16:21:52+00:00
41430587,Micoswohnung,Private room,1,325856414,80.0,2025-01-18 16:09:19+00:00,2025-01-18 16:09:19+00:00
4621461,Kreuzberg 19th century flat,Private room,2,23937038,50.0,2025-01-18 16:07:25+00:00,2025-01-18 16:07:25+00:00
