listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
49072557,Gemütliche 2 Zimmer Wohnung,Entire home/apt,30,371774383,50.0,2025-01-13 21:43:22+00:00,2025-01-13 21:43:22+00:00
1244210,CITY-PENTHOUSE & MAGNIFICENT VIEW,Entire home/apt,2,4446679,141.0,2025-01-13 21:41:47+00:00,2025-01-13 21:41:47+00:00
20915597,Beautiful 2 room apartment very central very quiet,Entire home/apt,7,42446331,45.0,2025-01-13 21:39:58+00:00,2025-01-13 21:39:58+00:00
40388498,5th floor apartment in the heart of Berlin,Entire home/apt,3,170150638,70.0,2025-01-13 21:16:54+00:00,2025-01-13 21:16:54+00:00
39388973,Great private room in new apartment Friedrichshain,Private room,5,16614328,123.0,2025-01-13 21:13:34+00:00,2025-01-13 21:13:34+00:00
