listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
42671758,Super clean Room in Steglitz . Very central,Private room,1,198864678,38.0,2025-01-13 06:53:01+00:00,2025-01-13 06:53:01+00:00
28879430,Panorama Room In The Center Of West Berlin,Hotel room,1,212377709,425.0,2025-01-13 06:51:04+00:00,2025-01-13 06:51:04+00:00
42491498,Cozy and quiet place to stay!,Private room,4,74871754,30.0,2025-01-13 06:48:44+00:00,2025-01-13 06:48:44+00:00
50234667,Big Flat in Kreuzberg with balcony,Private room,3,205976061,49.0,2025-01-13 06:26:33+00:00,2025-01-13 06:26:33+00:00
38261816,quiet apartment with terrace in middle of green,Entire home/apt,60,289573026,60.0,2025-01-13 06:13:04+00:00,2025-01-13 06:13:04+00:00
