listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
20407965,Modern cozy flat share in central Berlin,Private room,2,12138510,120.0,2025-01-13 05:53:12+00:00,2025-01-13 05:53:12+00:00
7599452,Central Berlin Hugh Luxury Apt,Entire home/apt,3,1086128,125.0,2025-01-13 05:47:01+00:00,2025-01-13 05:47:01+00:00
52005535,ArtStyle im Bötzowviertel,Private room,10,316048468,28.0,2025-01-13 05:21:35+00:00,2025-01-13 05:21:35+00:00
48856187,Piso en el corazón de Berlín (very central),Private room,15,249285910,25.0,2025-01-13 05:16:51+00:00,2025-01-13 05:16:51+00:00
51163216,Comfort Zimmer,Private room,1,414039130,110.0,2025-01-13 05:05:08+00:00,2025-01-13 05:05:08+00:00
21467204,Wohnung in  Herzen Friedrichshain,Entire home/apt,1,155753831,59.0,2025-01-13 05:00:35+00:00,2025-01-13 05:00:35+00:00
