listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
4905886,26m² room in a 120 m² flatshare,Private room,2,25257208,32.0,2025-01-13 08:49:08+00:00,2025-01-13 08:49:08+00:00
22264782,***New Years***Cosy Flat in the heart of Berlin,Entire home/apt,3,162695630,50.0,2025-01-13 08:38:42+00:00,2025-01-13 08:38:42+00:00
47774928,Ferienhaus für 6 Gäste mit 130m² in Berlin (145056),Entire home/apt,1,238028559,183.0,2025-01-13 08:11:55+00:00,2025-01-13 08:11:55+00:00
4556488,Balcony room in Neukölln,Private room,1,15753705,33.0,2025-01-13 08:11:18+00:00,2025-01-13 08:11:18+00:00
29119987,"Pure Motion Studio, 41 qm",Hotel room,2,210700814,229.0,2025-01-13 08:09:40+00:00,2025-01-13 08:09:40+00:00
52646696,THE DUDE by Charly - Comfy Double room,Entire home/apt,1,421235453,154.0,2025-01-13 08:06:28+00:00,2025-01-13 08:06:28+00:00
