listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
47485259,"Schönes, helles DZ, ruhig und zentral mit Terrasse",Private room,1,291818104,69.0,2025-01-13 03:55:37+00:00,2025-01-13 03:55:37+00:00
42059333,Cuba apartment,Entire home/apt,1,87442687,58.0,2025-01-13 03:32:38+00:00,2025-01-13 03:32:38+00:00
11576991,Schöne Wohnung in Berlins Westen,Entire home/apt,1,61195936,60.0,2025-01-13 03:31:47+00:00,2025-01-13 03:31:47+00:00
6113529,2 cosy rooms just for U (center),Private room,14,22756527,27.0,2025-01-13 03:25:21+00:00,2025-01-13 03:25:21+00:00
