listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
9919533,Cute flat for max 3 persons,Entire home/apt,1,22836752,35.0,2025-01-15 17:43:31+00:00,2025-01-15 17:43:31+00:00
51051504,Schöne Wohnung im Schillerkiez,Entire home/apt,2,2952669,55.0,2025-01-15 17:39:53+00:00,2025-01-15 17:39:53+00:00
42704801,Sonnige 2 Zimmer Wohnung im Grünen,Entire home/apt,2,7575304,39.0,2025-01-15 17:35:42+00:00,2025-01-15 17:35:42+00:00
22613834,Villa Kunterbunt,Private room,1,166423400,35.0,2025-01-15 17:33:45+00:00,2025-01-15 17:33:45+00:00
44525459,110qm Executive Apartment near Museumsinsel,Entire home/apt,50,22319933,120.0,2025-01-15 17:08:55+00:00,2025-01-15 17:08:55+00:00
