listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
15494108,Cozy nest in Rosenthalerplatz,Entire home/apt,60,15997566,50.0,2025-01-15 05:25:02+00:00,2025-01-15 05:25:02+00:00
48988379,Pretty & central room for 2 close to Subway,Private room,14,108025548,46.0,2025-01-15 05:15:24+00:00,2025-01-15 05:15:24+00:00
50293756,Hübsche 3 Zimmer - Wohnung am Volkspark Prenzlauerberg,Entire home/apt,1,406120938,70.0,2025-01-15 05:11:21+00:00,2025-01-15 05:11:21+00:00
36532684,Sonniges Zimmer in umzäuntem Garten im Berlingrün,Private room,7,37428978,41.0,2025-01-15 05:07:32+00:00,2025-01-15 05:07:32+00:00
25436973,"Cheerful and trendy Kreuzkölln, bright + balcony",Entire home/apt,60,192018470,40.0,2025-01-15 05:05:02+00:00,2025-01-15 05:05:02+00:00
