listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
39502939,City-Apartment Kurfürstendamm,Entire home/apt,2,221731912,103.0,2025-01-15 11:54:58+00:00,2025-01-15 11:54:58+00:00
46352979,Modern Living in the Heart of Berlin with Garden,Entire home/apt,30,3248348,90.0,2025-01-15 11:44:54+00:00,2025-01-15 11:44:54+00:00
48087061,Alte Feuerwache Berlin - Standard Double or Twin Room,Private room,1,386848467,72.0,2025-01-15 11:29:28+00:00,2025-01-15 11:29:28+00:00
49221673,Flat in new building in beautiful Prenzlauer Berg,Entire home/apt,14,239572037,50.0,2025-01-15 11:27:26+00:00,2025-01-15 11:27:26+00:00
10002922,Sehr zentrale Wohnung in Berlin,Entire home/apt,1,45848709,52.0,2025-01-15 11:18:24+00:00,2025-01-15 11:18:24+00:00
6758818,Ostbahnhof within 1 Minute Walk,Private room,1,14405869,47.0,2025-01-15 11:00:57+00:00,2025-01-15 11:00:57+00:00
