listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at,hour_partition
43992253,Wunderschöne 2-Zimmer Wohnung (&Balkon) Kreuzberg,Entire home/apt,7,11126428,50.0,2025-01-19 15:43:56+00:00,2025-01-19 15:43:56+00:00,2025-01-19 15:00:00+00:00
7375010,H,Entire home/apt,2,38636780,25.0,2025-01-19 15:32:14+00:00,2025-01-19 15:32:14+00:00,2025-01-19 15:00:00+00:00
30334710,Nice apartment in the centre of Berlin,Entire home/apt,3,12757920,60.0,2025-01-19 15:05:26+00:00,2025-01-19 15:05:26+00:00,2025-01-19 15:00:00+00:00
5046962,Beautiful Apartment in Berlin,Entire home/apt,6,25504810,50.0,2025-01-19 15:04:07+00:00,2025-01-19 15:04:07+00:00,2025-01-19 15:00:00+00:00
12138993,Bright 3-room flat in Prenzlauer Berg,Entire home/apt,92,1325279,65.0,2025-01-19 14:51:14+00:00,2025-01-19 14:51:14+00:00,2025-01-19 14:00:00+00:00
41700038,Sunny 2-room flat w/Balcony Bergmannkiez/Kreuzberg,Entire home/apt,30,1819213,70.0,2025-01-19 14:14:14+00:00,2025-01-19 14:14:14+00:00,2025-01-19 14:00:00+00:00
45374942,Gitschiner apartment with Balcony,Entire home/apt,7,116235283,89.0,2025-01-19 13:56:06+00:00,2025-01-19 13:56:06+00:00,2025-01-19 13:00:00+00:00
36165198,Kiez Box 1 All,Private room,2,271993354,460.0,2025-01-19 13:34:36+00:00,2025-01-19 13:34:36+00:00,2025-01-19 13:00:00+00:00
39840556,"Pivate Room, 1 Bed (140) (Privatzimmer, 1 Bett)",Private room,2,306477150,50.0,2025-01-19 13:27:49+00:00,2025-01-19 13:27:49+00:00,2025-01-19 13:00:00+00:00
8033018,Beautiful Apartment Prenzlauer Berg,Entire home/apt,7,26813578,50.0,2025-01-19 13:25:07+00:00,2025-01-19 13:25:07+00:00,2025-01-19 13:00:00+00:00
50714973,Stylish Apartment in Prenzlauer Berg,Entire home/apt,92,154077755,47.0,2025-01-19 13:24:42+00:00,2025-01-19 13:24:42+00:00,2025-01-19 13:00:00+00:00
42805923,Large - Family - Room,Private room,1,90186621,999.0,2025-01-19 13:19:37+00:00,2025-01-19 13:19:37+00:00,2025-01-19 13:00:00+00:00
8029943,Cosy flat with beautiful garden,Entire home/apt,14,40070030,50.0,2025-01-19 13:16:55+00:00,2025-01-19 13:16:55+00:00,2025-01-19 13:00:00+00:00
52330739,"Komfortables Appartment am Kurfürstendamm, 40m2",Entire home/apt,10,13776840,65.0,2025-01-19 13:06:51+00:00,2025-01-19 13:06:51+00:00,2025-01-19 13:00:00+00:00
