listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
34973995,Wohnung in Tempelhof mit guter Öffi-Anbindung,Entire home/apt,5,13445553,69.0,2025-01-14 04:53:01+00:00,2025-01-14 04:53:01+00:00
23532664,Cozy city apartment in an old charming building,Entire home/apt,2,175804467,90.0,2025-01-14 04:42:29+00:00,2025-01-14 04:42:29+00:00
42766929,Wohnung in Berlin Wannsee - für bis zu 4 Personen,Entire home/apt,3,101590322,88.0,2025-01-14 04:13:52+00:00,2025-01-14 04:13:52+00:00
