listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
43801577,"große, helle Wohnung in Neukölln nähe Ufer",Entire home/apt,5,43358860,106.0,2025-01-14 00:55:10+00:00,2025-01-14 00:55:10+00:00
34902974,Ruhige Wohnung direkt am Wald,Entire home/apt,1,42571558,25.0,2025-01-14 00:55:04+00:00,2025-01-14 00:55:04+00:00
46034877,Cosy 29 sq. meter apartment,Entire home/apt,10,313552363,35.0,2025-01-14 00:41:48+00:00,2025-01-14 00:41:48+00:00
42655892,Pankow Penthouse,Entire home/apt,7,118534678,140.0,2025-01-14 00:15:58+00:00,2025-01-14 00:15:58+00:00
45147337,25 m² bright & cozy little jungle in Berlin-Mitte,Private room,3,30656497,49.0,2025-01-14 00:13:07+00:00,2025-01-14 00:13:07+00:00
