listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
8031570,Flat Pompidiu for 2-3 weeks in Oct,Entire home/apt,14,24.0,42406759,Sarah,f,2025-01-15 04:52:06+00:00,2025-01-15 04:52:06
23704833,Nice room in an old building in Schöneberg,Private room,5,34.0,177597446,Yvonne,f,2025-01-15 04:50:27+00:00,2025-01-15 04:50:27
11414738,"3 weeks, 2-room flat, 10.03-30.03",Entire home/apt,10,35.0,59933257,Andreas,f,2025-01-15 04:21:34+00:00,2025-01-15 04:21:34
49300477,SCHOENHOUSE by limehome - Standard Suite LT,Entire home/apt,1,115.0,390059085,,,2025-01-15 04:12:05+00:00,2025-01-15 04:12:05
49037980,Bright & central room for 2 near to subway,Private room,14,46.0,108025548,,,2025-01-15 04:01:13+00:00,2025-01-15 04:01:13
