listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
4314353,stylish ap. @Xberg with lakeview,Shared room,355,45.0,21239469,Stefan,f,2025-01-19 10:57:09+00:00,2025-01-19 10:57:09
51356485,Renovated Family Apartment in Warschauer Straße,Entire home/apt,1,154.0,371901575,,,2025-01-19 10:56:20+00:00,2025-01-19 10:56:20
23066511,ein schönes Zimmer im Herzen Prenzlbergs,Private room,3,50.0,21239559,Tobias,f,2025-01-19 10:50:46+00:00,2025-01-19 10:50:46
9956966,Sweet Bed inside DDRstyle Apartment,Shared room,1,12.0,19336587,Ayu,f,2025-01-19 10:50:12+00:00,2025-01-19 10:50:12
42111391,Sunny flat in the heart of Bergmannkiez !,Entire home/apt,6,55.0,95407160,Marine,f,2025-01-19 10:49:16+00:00,2025-01-19 10:49:16
44455843,Cozy room in a charming shared flat,Private room,3,35.0,22921735,,,2025-01-19 10:45:25+00:00,2025-01-19 10:45:25
10069929,Bright double room in Berlin,Private room,1,25.0,51671248,Layla,f,2025-01-19 10:43:04+00:00,2025-01-19 10:43:04
26187036,Axel Junior Suite at Axel Hotel Berlin,Hotel room,1,170.0,98159395,,,2025-01-19 10:41:09+00:00,2025-01-19 10:41:09
39248495,Great location with a lot of sunlight,Entire home/apt,3,130.0,43935521,Johannes,f,2025-01-19 10:36:19+00:00,2025-01-19 10:36:19
8676968,Ruhiges Landhauserdgeschoss,Entire home/apt,1,58.0,45572867,Martin,f,2025-01-19 10:31:16+00:00,2025-01-19 10:31:16
41307095,70sqm in Berlin Mitte: Newly furnished apartment,Entire home/apt,7,45.0,18238569,Max,f,2025-01-19 10:23:22+00:00,2025-01-19 10:23:22
36011170,"CHIC, SPACIOUS APARTMENT IN PEACEFUL NEIGHBORHOOD",Entire home/apt,2,141.0,270932564,Ester,f,2025-01-19 10:19:19+00:00,2025-01-19 10:19:19
39492370,"Apartment in Berlin,Lichterfelde West",Entire home/apt,1,69.0,72766229,Oliver,f,2025-01-19 10:13:43+00:00,2025-01-19 10:13:43
13517557,Renovated apartment in the center,Entire home/apt,1,413.0,77631123,Feng,f,2025-01-19 10:07:15+00:00,2025-01-19 10:07:15
44549170,Little gem in the heart of Berlin,Entire home/apt,7,50.0,210979600,Zejna,f,2025-01-19 10:03:23+00:00,2025-01-19 10:03:23
