listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
52821218,Cosy 3BR 2BTH +A/C +Self Check-In +Street Parking,Entire home/apt,1,125847915,119.0,2025-01-19 07:46:01+00:00,2025-01-19 07:46:01+00:00
52709676,Berlin Rathenauer Platz,Entire home/apt,2,332515272,101.0,2025-01-19 07:38:45+00:00,2025-01-19 07:38:45+00:00
7341721,"Top location apartment 5, Ostkreuz",Private room,1,19297176,40.0,2025-01-19 07:33:13+00:00,2025-01-19 07:33:13+00:00
37584556,Cozy room in Kreuzberg,Private room,3,78396686,33.0,2025-01-19 07:04:54+00:00,2025-01-19 07:04:54+00:00
43129947,1 zimmer apartment im Berlin,Entire home/apt,1,343362459,17.0,2025-01-19 07:03:24+00:00,2025-01-19 07:03:24+00:00
40904538,Gemütliches Zimmer im Zentrum Berlins,Private room,3,42476536,85.0,2025-01-19 07:02:44+00:00,2025-01-19 07:02:44+00:00
