listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at
4314353,stylish ap. @Xberg with lakeview,Shared room,355,21239469,45.0,2025-01-19 10:57:09+00:00,2025-01-19 10:57:09+00:00
51356485,Renovated Family Apartment in Warschauer Straße,Entire home/apt,1,371901575,154.0,2025-01-19 10:56:20+00:00,2025-01-19 10:56:20+00:00
23066511,ein schönes Zimmer im Herzen Prenzlbergs,Private room,3,21239559,50.0,2025-01-19 10:50:46+00:00,2025-01-19 10:50:46+00:00
9956966,Sweet Bed inside DDRstyle Apartment,Shared room,1,19336587,12.0,2025-01-19 10:50:12+00:00,2025-01-19 10:50:12+00:00
42111391,Sunny flat in the heart of Bergmannkiez !,Entire home/apt,6,95407160,55.0,2025-01-19 10:49:16+00:00,2025-01-19 10:49:16+00:00
44455843,Cozy room in a charming shared flat,Private room,3,22921735,35.0,2025-01-19 10:45:25+00:00,2025-01-19 10:45:25+00:00
10069929,Bright double room in Berlin,Private room,1,51671248,25.0,2025-01-19 10:43:04+00:00,2025-01-19 10:43:04+00:00
26187036,Axel Junior Suite at Axel Hotel Berlin,Hotel room,1,98159395,170.0,2025-01-19 10:41:09+00:00,2025-01-19 10:41:09+00:00
39248495,Great location with a lot of sunlight,Entire home/apt,3,43935521,130.0,2025-01-19 10:36:19+00:00,2025-01-19 10:36:19+00:00
8676968,Ruhiges Landhauserdgeschoss,Entire home/apt,1,45572867,58.0,2025-01-19 10:31:16+00:00,2025-01-19 10:31:16+00:00
41307095,70sqm in Berlin Mitte: Newly furnished apartment,Entire home/apt,7,18238569,45.0,2025-01-19 10:23:22+00:00,2025-01-19 10:23:22+00:00
36011170,"CHIC, SPACIOUS APARTMENT IN PEACEFUL NEIGHBORHOOD",Entire home/apt,2,270932564,141.0,2025-01-19 10:19:19+00:00,2025-01-19 10:19:19+00:00
39492370,"Apartment in Berlin,Lichterfelde West",Entire home/apt,1,72766229,69.0,2025-01-19 10:13:43+00:00,2025-01-19 10:13:43+00:00
13517557,Renovated apartment in the center,Entire home/apt,1,77631123,413.0,2025-01-19 10:07:15+00:00,2025-01-19 10:07:15+00:00
44549170,Little gem in the heart of Berlin,Entire home/apt,7,210979600,50.0,2025-01-19 10:03:23+00:00,2025-01-19 10:03:23+00:00
