listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
15160364,Huge Room - Best location for real Berlin,Private room,2,26.0,28285870,Justin,f,2025-01-16 10:25:56+00:00,2025-01-16 10:25:56
52715983,Cosy 2-room Artists Flat in Friedrichshain,Entire home/apt,4,99.0,11716605,Adelina,f,2025-01-16 10:10:55+00:00,2025-01-16 10:10:55
13869282,Altbauwohnung mit 2 Zimmern direkt am Hermannplatz,Private room,1,80.0,3669572,Anna,f,2025-01-16 10:07:20+00:00,2025-01-16 10:07:20
