listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
11539739,Perfect room for couples,Private room,1,20.0,16410152,Fırat,f,2025-01-16 20:56:38+00:00,2025-01-16 20:56:38
33371678,Bright and simple room in beautiful Altbau flat,Private room,7,25.0,3194985,,,2025-01-16 20:41:14+00:00,2025-01-16 20:41:14
40583998,Cozy 2-room apartment at Schillerkiez (Neukölln),Entire home/apt,4,80.0,68033150,,,2025-01-16 20:21:35+00:00,2025-01-16 20:21:35
24912243,Berliner Wohnung im Wedding,Private room,2,35.0,188345028,Ella,f,2025-01-16 20:11:37+00:00,2025-01-16 20:11:37
41061733,Beautiful & calm apartment with huge balcony,Entire home/apt,5,100.0,27793478,,,2025-01-16 20:10:10+00:00,2025-01-16 20:10:10
