listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
48087572,Alte Feuerwache Berlin - Standard Double or Twin Room,Private room,1,72.0,386848467,,,2025-01-16 07:59:53+00:00,2025-01-16 07:59:53
46769321,Berlin Art Creative Room,Private room,1,124.0,24864601,Manaf,f,2025-01-16 07:53:30+00:00,2025-01-16 07:53:30
32335706,Wunderschöne Altbauwohnung 65m2,Entire home/apt,14,80.0,35630833,Sylvia,f,2025-01-16 07:39:24+00:00,2025-01-16 07:39:24
18115414,"2 Zimmerwohnung in Pankow, ideal für Pärchen",Entire home/apt,3,27.0,73828853,Moritz,f,2025-01-16 07:32:38+00:00,2025-01-16 07:32:38
19190445,Very central place in heart of Wedding,Entire home/apt,1,65.0,132302162,Khaled,f,2025-01-16 07:30:11+00:00,2025-01-16 07:30:11
9150987,Cozy big room in kreuzberg/neukölln,Private room,5,25.0,47554561,Robert,f,2025-01-16 07:20:22+00:00,2025-01-16 07:20:22
40650136,"Cozy, comfort and modern apartment! BILLS INCLUDED",Entire home/apt,100,860.0,271714786,Celio,f,2025-01-16 07:19:01+00:00,2025-01-16 07:19:01
8568509,Flat with balcony in Wedding,Entire home/apt,1,46.0,36364923,Ma,f,2025-01-16 07:00:41+00:00,2025-01-16 07:00:41
