listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
26767873,Berlin Wohnung / Kreuzberg / Görlitzer Bahnhof,Entire home/apt,3,75.0,3282971,Sarah,f,2025-01-16 02:31:26+00:00,2025-01-16 02:31:26
40745724,Cozy single room in shared flat,Private room,2,30.0,116736663,Coline,f,2025-01-16 02:11:14+00:00,2025-01-16 02:11:14
14440109,Bright apartment in the heart of Rixdorf,Entire home/apt,2,35.0,16288216,Alex,f,2025-01-16 02:09:47+00:00,2025-01-16 02:09:47
