listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
9108801,Quite in a Cool Street in Neukolln,Entire home/apt,15,32.0,12469994,Alessia,f,2025-01-17 18:57:22+00:00,2025-01-17 18:57:22
7220995,Cosy flat near Mauerpark,Entire home/apt,20,40.0,37802104,Johannes,f,2025-01-17 18:42:39+00:00,2025-01-17 18:42:39
51679037,Lovely 1-bed apartment in Neukolln,Entire home/apt,2,45.0,41472652,Asiya,f,2025-01-17 18:40:51+00:00,2025-01-17 18:40:51
9378741,Studio Berlin Charlottenburg,Entire home/apt,4,28.0,48658819,Rocinta,f,2025-01-17 18:40:34+00:00,2025-01-17 18:40:34
8823996,Big and luxury Room in Berlin,Private room,1,40.0,43770352,Corinne,f,2025-01-17 18:34:19+00:00,2025-01-17 18:34:19
43575461,4-Zimmer-Wohnung im Szenebezirk Friedrichshain,Entire home/apt,7,75.0,34006291,Trajan,f,2025-01-17 18:32:33+00:00,2025-01-17 18:32:33
44782205,Sunset at Templehof,Private room,30,23.0,4594271,Christian,f,2025-01-17 18:13:30+00:00,2025-01-17 18:13:30
52644407,THE DUDE by Charly - Cosy+ Double Room,Entire home/apt,1,148.0,421235453,,,2025-01-17 18:06:42+00:00,2025-01-17 18:06:42
