listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
5086863,"Homely, big & sunny in the center",Entire home/apt,21,65.0,4687616,Barbara,f,2025-01-17 16:49:46+00:00,2025-01-17 16:49:46
52275607,Top floor sunny studio apartment - Beautiful view.,Entire home/apt,4,89.0,47795570,,,2025-01-17 16:33:14+00:00,2025-01-17 16:33:14
40481738,Hell und groß im Herzen Neuköllns mit Balkon,Private room,7,28.0,10697413,Tanin,f,2025-01-17 16:27:41+00:00,2025-01-17 16:27:41
12561585,Very nice flat with balcony,Entire home/apt,1,110.0,68094397,Lydia Nadia,f,2025-01-17 16:24:08+00:00,2025-01-17 16:24:08
