listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
22820006,Gemütliches Studio Apartment zentral gelegen,Entire home/apt,60,69.0,8912086,,,2025-01-17 23:24:32+00:00,2025-01-17 23:24:32
12641723,Beautiful flat with amazing view!,Entire home/apt,1,50.0,68656621,Ido,f,2025-01-17 23:20:34+00:00,2025-01-17 23:20:34
41359244,Berlin Zentrum näher Potsdamer Platz,Private room,2,45.0,157216702,Jose Enrique,f,2025-01-17 23:11:34+00:00,2025-01-17 23:11:34
47774975,Ferienhaus für 6 Gäste mit 130m² in Berlin (145060),Entire home/apt,1,183.0,238028559,,,2025-01-17 23:09:33+00:00,2025-01-17 23:09:33
24082136,Ruhiges Zimmer in Friedrichshain mit süßen Katzen,Private room,2,29.0,35851817,Friederike,f,2025-01-17 23:00:42+00:00,2025-01-17 23:00:42
