listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
33210521,Cosy and clean apartment in the city center,Entire home/apt,3,85.0,198404989,Karina,f,2025-01-17 06:58:20+00:00,2025-01-17 06:58:20
52180623,NuWave Hotel Berlin - Superior Double Room,Private room,1,101.0,421557030,,,2025-01-17 06:56:07+00:00,2025-01-17 06:56:07
36386490,Loft direct on water in Berlin Köpenick,Entire home/apt,179,50.0,716475,Hanya,f,2025-01-17 06:28:50+00:00,2025-01-17 06:28:50
40606989,2 Bedroom Flat near Mauerpark in Central Berlin,Entire home/apt,5,75.0,77522210,Chloe,f,2025-01-17 06:27:31+00:00,2025-01-17 06:27:31
20108988,Stunning home in Berlin-Köpenick with Sauna and 3 Bedrooms,Entire home/apt,28,113.0,141539959,,,2025-01-17 06:25:44+00:00,2025-01-17 06:25:44
